key,admitCity,admitStateCd,admitStateName,checked4Comparison,combinedDegreesStr,favorite,gpaOverallP10,gpaOverallP90,instId,kind,matricTotal,mcatTotalP10,mcatTotalP90,msarYear,notePresent,priApplEarliestDtText,priApplLatestDtText,primaryApplService,publicPrivate,schoolProgramActiveFlag,schoolProgramName,schoolProgramStatus,totalEnrollment,tuitionAndFeesNonres,tuitionAndFeesRes,usMedTuitionNonres,usMedTuitionRes
3740,Albany,NY,New York,False,"Bacc/MD, MD/MPH, MD/MBA, MD/PhD",False,3.29,3.91,102,SCHOOL,138.0,29.0,36.0,2016,False,"June 4, 2015","November 1, 2015",AMCAS,Private Institution,,Albany Medical College,APPROVED_LOCKED,562.0,56103.0,56103.0,,
3758,Bronx,NY,New York,False,"MD/PhD, Summer Program",False,3.57,3.94,120,SCHOOL,183.0,30.0,36.0,2016,False,"June 1, 2015","October 15, 2015",AMCAS,Private Institution,,Albert Einstein College of Medicine of Yeshiva University,APPROVED_LOCKED,779.0,48244.0,48244.0,,
3742,Houston,TX,Texas,False,"Bacc/MD, MD/MPH, MD/MBA, MD/JD, MD/PhD",False,3.62,4.0,104,SCHOOL,185.0,32.0,39.0,2016,False,"June 3, 2015","November 1, 2015",AMCAS,Private Institution,,Baylor College of Medicine,APPROVED_LOCKED,741.0,31098.0,17998.0,,
573,Waco,TX,Texas,False,,False,,,207636,JPROG,6.0,,,2016,False,10/1/2015,12/8/2015,,Private Institution,,Baylor University/Baylor College of Medicine (Baylor 2 Medical Track Program),APPROVED_LOCKED,24.0,40638.0,40638.0,31098.0,17998.0
3743,Boston,MA,Massachusetts,False,"Bacc/MD, MD/MPH, MD/MBA, MD/JD, MD/PhD, Postbaccalaureate",False,3.45,3.97,105,SCHOOL,166.0,30.0,39.0,2016,False,"June 4, 2015","November 1, 2015",AMCAS,Private Institution,,Boston University School of Medicine,APPROVED_LOCKED,682.0,54678.0,54678.0,,
174,Boston,MA,Massachusetts,False,,False,,,127075,JPROG,26.0,,,2016,False,"September 1, 2015","November 15, 2015",,,,Boston University School of Medicine Combined Degree Program,APPROVED_LOCKED,60.0,60694.0,60694.0,54678.0,54678.0
186,Brooklyn,NY,New York,False,,False,,,127076,JPROG,15.0,,,2016,False,"September 1, 2015","December 15, 2015",,,,Brooklyn College and SUNY-Downstate Medical Center COM B.A./M.D. Honors Program,APPROVED_LOCKED,58.0,15300.0,5730.0,60789.0,35629.0
3823,Cleveland,OH,Ohio,False,"Bacc/MD, MD/MPH, MD/MBA, MD/JD, MD/PhD, Summer Program",False,3.5,3.98,186,SCHOOL,207.0,32.0,39.0,2016,False,"On or about June 4, 2015","November 3, 2015",AMCAS,Private Institution,,Case Western Reserve University School of Medicine,APPROVED_LOCKED,803.0,55410.0,55410.0,,
178,Cleveland,OH,Ohio,False,,False,,,127078,JPROG,10.0,,,2016,False,"August 1, 2015","December 1, 2016",,,,Case Western Reserve University School of Medicine Joint Degree Program,APPROVED_LOCKED,35.0,41420.0,41420.0,55410.0,55410.0
3889,Mount Pleasant,MI,Michigan,False,,False,3.35,3.88,847,SCHOOL,104.0,24.0,33.0,2016,False,"June 4, 2015","December 1, 2015",AMCAS,Public Institution,,Central Michigan University College of Medicine,APPROVED_LOCKED,168.0,71659.0,38522.0,,
3748,North Chicago,IL,Illinois,False,"MD/PhD, Postbaccalaureate",False,3.33,3.94,110,SCHOOL,190.0,27.0,35.0,2016,False,"June 1, 2015","November 2, 2015",AMCAS,Private Institution,,Chicago Medical School at Rosalind Franklin University of Medicine & Science,APPROVED_LOCKED,763.0,50656.0,50656.0,,
3752,New York,NY,New York,False,"MD/MPH, MD/MBA, MD/PhD, Postbaccalaureate, Summer Program",False,3.57,3.99,114,SCHOOL,157.0,32.0,40.0,2016,False,June 2,October 15,AMCAS,Private Institution,,Columbia University College of Physicians and Surgeons,APPROVED_LOCKED,642.0,55482.0,55482.0,,
3890,Camden,NJ,New Jersey,False,,False,3.29,3.88,848,SCHOOL,72.0,26.0,35.0,2016,False,"June 1, 2015","November 16, 2015",AMCAS,Public Institution,,Cooper Medical School of Rowan University,APPROVED_LOCKED,182.0,57125.0,36628.0,,
3754,Omaha,NE,Nebraska,False,"MD/MBA, MD/PhD, Postbaccalaureate",False,3.51,3.98,116,SCHOOL,155.0,28.0,35.0,2016,False,"June 1, 2015","November 1, 2015",AMCAS,Private Institution,,Creighton University School of Medicine,APPROVED_LOCKED,617.0,53352.0,53352.0,,
3835,"P. O. Box 15000, Halifax",NS,Nova Scotia,False,,False,,,251,SCHOOL,,,,2016,False,"July 1, 2015","August 15, 2015",,Public Institution,,Dalhousie University Faculty of Medicine,APPROVED_LOCKED,,,,,
3880,Philadelphia,PA,Pennsylvania,False,"Bacc/MD, MD/MPH, MD/MBA, MD/PhD, Postbaccalaureate",False,3.36,3.92,833,SCHOOL,260.0,29.0,35.0,2016,False,"June 1, 2015","December 1, 2015",AMCAS,Private Institution,,Drexel University College of Medicine,APPROVED_LOCKED,1082.0,53250.0,53250.0,,
183,Philadelphia,PA,Pennsylvania,False,,False,,,127081,JPROG,38.0,,,2016,False,"August, application available","November 4, 2015",,,,Drexel University and Drexel University College of Medicine Combined Degree Program,APPROVED_LOCKED,83.0,44646.0,44646.0,53250.0,53250.0
